<PATH1>
(70.0000000000000, 100.000000000000)
(20.0000000000000, 80.0000000000000)
(20.0000000000000, 20.0000000000000)
(20.0000000000000, -10.0000000000000)
(20.0000000000000, -10.0000000000000)
(20.0000000000000, -30.0000000000000)
(40.0000000000000, -30.0000000000000)
(40.0000000000000, -10.0000000000000)
(40.0000000000000, -10.0000000000000)
(40.0000000000000, 20.0000000000000)
(40.0000000000000, 60.0000000000000)
(0.00000000000000, 60.0000000000000)
(0.00000000000000, 60.0000000000000)
(-40.0000000000000, 60.0000000000000)
(-40.0000000000000, 20.0000000000000)
(-40.0000000000000, -10.0000000000000)
(-40.0000000000000, -10.0000000000000)
(-40.0000000000000, -30.0000000000000)
(-20.0000000000000, -30.0000000000000)
(-20.0000000000000, -10.0000000000000)
(-20.0000000000000, -10.0000000000000)
(-20.0000000000000, 40.0000000000000)
(-20.0000000000000, 80.0000000000000)
(-60.0000000000000, 100.000000000000)
<PATH2>
(0.00000000000000, 100.000000000000)
(50.0000000000000, 80.0000000000000)
(40.0000000000000, 30.0000000000000)
(0.00000000000000, 30.0000000000000)
(0.00000000000000, 30.0000000000000)
(-40.0000000000000, 20.0000000000000)
(-40.0000000000000, -20.0000000000000)
(0.00000000000000, -20.0000000000000)
(0.00000000000000, -20.0000000000000)
(40.0000000000000, -20.0000000000000)
(40.0000000000000, 20.0000000000000)
(0.00000000000000, 30.0000000000000)
(0.00000000000000, 30.0000000000000)
(-40.0000000000000, 30.0000000000000)
(-50.0000000000000, 80.0000000000000)
(0.00000000000000, 100.000000000000)
<PATH3>
(-90.0000000000000, 10.0000000000000)
(-59.9869734187711, 9.85806900154909)
(-70.0000000000000, 60.0000000000000)
(-40.0000000000000, 60.0000000000000)
(-40.0000000000000, 60.0000000000000)
(-15.0000000000000, 60.0000000000000)
(-19.9869734187711, 9.85806900154909)
(0.0130265812289032, 9.85806900154909)
(0.0130265812289032, 9.85806900154909)
(20.0720289004146, 9.73270403463380)
(10.0590023191857, 59.8746350330848)
(40.0590023191857, 59.8746350330848)
(40.0590023191857, 59.8746350330848)
(65.0590023191858, 59.8746350330848)
(60.0720289004146, 9.73270403463380)
(90.0000000000000, 10.0000000000000)
<PATH4>
(20.0000000000000, 90.0000000000000)
(20.0000000000000, 20.0000000000000)
(20.0000000000000, -30.0000000000000)
(-10.0000000000000, -30.0000000000000)
(-10.0000000000000, -30.0000000000000)
(-40.0000000000000, -30.0000000000000)
(-50.0000000000000, 40.0000000000000)
(90.0000000000000, 40.0000000000000)
<PATH5>
(-20.0000000000000, 90.0000000000000)
(-20.0000000000000, 20.0000000000000)
(-20.0000000000000, -30.0000000000000)
(10.0000000000000, -30.0000000000000)
(10.0000000000000, -30.0000000000000)
(40.0000000000000, -30.0000000000000)
(50.0000000000000, 40.0000000000000)
(-90.0000000000000, 40.0000000000000)
<PATH6>
(-30.0000000000000, 90.0000000000000)
(-30.0000000000000, 40.0000000000000)
(-30.0000000000000, -30.0000000000000)
(-30.0000000000000, -90.0000000000000)
